,funding type,Categories,CB Rank (Company),Estimated Revenue Range,Operating Status,Number of Employees,Funding Status,Total Funding Amount Currency (in USD),fund_date
166,Seed,"3D Technology, Artificial Intelligence, Image Recognition, Machine Learning, Mobile, Robotics","70,487",$1M to $10M,Active,1-10,Seed,1100000.0,2009
167,Undisclosed,"Augmented Reality, Autonomous Vehicles, Computer Vision, Drones, Hardware, Machine Learning, Robotics, Sensor, Virtual Reality","81,718",,Active,11-50,,,2017
168,Seed,"Autonomous Vehicles, Big Data, Computer Vision, Machine Learning, Manufacturing, Robotics","83,865",,Active,1-10,Seed,,2015
169,Seed,"Artificial Intelligence, Computer Vision, Machine Learning, Robotics, Software","84,217",,Active,11-50,Seed,,2018
170,None,"Artificial Intelligence, CleanTech, Embedded Software, Indoor Positioning, Machine Learning, Navigation, Network Security, Operating Systems, Robotics, Software","83,833",,Active,11-50,,,2016
171,None,"Artificial Intelligence, Blockchain, Cyber Security, FinTech, Information Technology, Lifestyle, Machine Learning, Retail, Robotics","84,610",,Active,11-50,,,2016
172,None,"Artificial Intelligence, Internet of Things, Knowledge Management, Machine Learning, Mobile Devices, Robotics, Smart Home","85,380",,Active,11-50,,,2015
173,Seed,"Artificial Intelligence, Broadcasting, Computer Vision, Machine Learning, Robotics","85,597",,Active,11-50,Seed,,2016
174,Grant,"Education, Machine Learning, Robotics","80,625",,Active,,Seed,175000.0,2012
175,Seed,"Artificial Intelligence, Cloud Computing, Machine Learning, Robotics","84,171",,Active,1-10,Seed,,2018
176,Grant,"Artificial Intelligence, Machine Learning, Robotics","80,844",,Active,1-10,,358263.0,2008
177,None,"Artificial Intelligence, Logistics, Machine Learning, Robotics, Supply Chain Management, Warehousing","86,646",,Active,11-50,,,None
178,None,"Computer Vision, Enterprise Software, Robotics, Software, Virtual Workforce","88,735",,Active,11-50,,,2015
179,Series A,"Artificial Intelligence, Machine Learning, Manufacturing, Medical Device, Robotics","82,019",,Active,,Early Stage Venture,1648630.0,None
180,None,"Internet of Things, Logistics, SaaS, Software","91,922",,Active,11-50,,,2015
181,None,"Artificial Intelligence, Machine Learning, Neuroscience","88,405",,Active,11-50,,,2014
182,None,"Artificial Intelligence, Cloud Computing, Computer Vision, GPU, Internet, Language Learning, Machine Learning, Natural Language Processing, SaaS, Software","92,930",,Active,1-10,,,None
183,Seed,"Artificial Intelligence, Drone Management, Fleet Management, Intelligent Systems, Internet of Things, Robotics","88,806",,Active,1-10,M&A,,2015
