,funding type,Categories,CB Rank (Company),Estimated Revenue Range,Operating Status,Number of Employees,Funding Status,Total Funding Amount Currency (in USD),fund_date
330,None,"Artificial Intelligence, Autonomous Vehicles, Computer Vision, Facial Recognition, Motion Capture, Software","218,167",,Active,11-50,,,2018
331,None,"Artificial Intelligence, Robotics, Software","208,552",,Active,1-10,,,2011
332,None,"Artificial Intelligence, Big Data, Intelligent Systems, Machine Learning, Natural Language Processing, Predictive Analytics, Robotics","220,461",,Active,1-10,,,2016
333,None,Biotechnology,"208,278",,Active,1-10,,,2016
334,None,"Analytics, Artificial Intelligence, Education, Robotics, Software","195,803",,Active,,,,None
335,None,"Agriculture, Analytics, Artificial Intelligence, Internet, Robotics, Software","228,069",,Active,1-10,,,2017
336,None,"Big Data, Information Technology, Machine Learning, Robotics, Software","217,670",Less than $1M,Active,101-250,,,None
337,None,"Artificial Intelligence, Robotics, Software","215,861",$1M to $10M,Active,,,,2011
338,None,"Agriculture, AgTech, Artificial Intelligence, Farming, Machine Learning, Robotics","222,589",,Active,1-10,,,2017
339,None,"Angel Investment, Artificial Intelligence, Big Data, Business Development, Database, Machine Learning, Marketplace, Mobile Apps, Robotics, Web Development","220,443",,Active,1-10,,,2017
340,None,"Artificial Intelligence, Machine Learning, Robotics, Software","228,432",,Active,1-10,,,2017
341,None,"Big Data, Information Technology, Machine Learning, Robotics","223,965",$10M to $50M,Active,101-250,,,None
342,None,"Artificial Intelligence, Information Technology, Machine Learning, Robotics","218,250",,Active,1-10,,,2018
343,None,"Artificial Intelligence, Machine Learning","239,186",$1M to $10M,Active,1-10,,,2015
344,None,"Artificial Intelligence, Cloud Computing, Information Technology, Machine Learning, Robotics, Security, Software","242,477",,Active,1-10,,,2018
345,None,"Advanced Materials, Artificial Intelligence, Intelligent Systems, Mechanical Design, Mechanical Engineering, Neuroscience, Robotics","226,093",,Closed,1-10,M&A,,2009
346,None,"Analytics, Artificial Intelligence, Information Technology, Recruiting","237,306",,Active,1-10,,,2017
347,None,"Agriculture, Artificial Intelligence, Automotive, Big Data, Machine Learning, Robotics, Transportation","238,790",Less than $1M,Active,1-10,,,2017
348,None,"Life Science, Machine Learning, Robotics","238,916",,Active,,,,2013
349,None,"Artificial Intelligence, Autonomous Vehicles, Computer Vision, Internet of Things, Machine Learning, Robotics, Service Industry","230,175",,Active,1-10,,,2018
350,None,"Artificial Intelligence, Computer, Machine Learning, Robotics","243,235",Less than $1M,Active,,,,2015
351,None,"Artificial Intelligence, Computer, Information Technology, Machine Learning, Robotics, Software","245,664",,Active,,,,None
352,None,"Artificial Intelligence, Bioinformatics, Life Science, Machine Learning, Neuroscience, Robotics","251,323",,Active,,,,None
353,None,"Blockchain, Consulting, Information Technology, Robotics","244,432",,Active,1-10,,,2016
354,None,"Analytics, Big Data, Information Technology, Machine Learning, Robotics, Software","256,460",,Active,1-10,,,2016
355,None,"Artificial Intelligence, Communities, Developer Tools, Machine Learning, Robotics","238,041",Less than $1M,Active,1-10,,,2012
356,None,"Artificial Intelligence, Information Technology, Robotics","265,228",,Closed,1-10,,,None
357,None,"Artificial Intelligence, Intelligent Systems, Machine Learning, Predictive Analytics, Robotics","252,963",,Active,1-10,,,None
358,None,"Artificial Intelligence, Hardware, Information Technology, Machine Learning, Robotics","242,159",,Active,1-10,,,2018
359,None,"Robotics, Software","254,844",Less than $1M,Active,1-10,,,2014
360,None,"Artificial Intelligence, Information Technology, Machine Learning, Robotics, Software","244,514",Less than $1M,Active,11-50,,,2013
361,None,"CRM, Information Technology, Robotics, Security, Software","267,123",,Active,,,,None
362,None,"Machine Learning, Robotics, SEO, Software","259,067",Less than $1M,Active,1-10,,,2009
363,None,"Artificial Intelligence, Banking, Information Technology, Robotics, Software","272,212",,Active,,,,2016
364,None,"Artificial Intelligence, Industrial Automation, Machine Learning, Manufacturing, Robotics","250,501",,Active,11-50,,,2015
365,None,"Artificial Intelligence, Computer Vision, Machine Learning, Software","275,407",,Active,1-10,,,2017
366,None,"Machine Learning, Robotics, Software","262,449",,Active,,,,2015
367,None,"Artificial Intelligence, Machine Learning, Social Impact","274,265",$1M to $10M,Active,1-10,,,2009
368,None,"Artificial Intelligence, Education, Machine Learning, Robotics","251,573",,Active,,,,2010
369,None,"Machine Learning, Manufacturing, Robotics","295,723",$1M to $10M,Active,101-250,,,2000
370,None,"Product Management, Service Industry","283,570",,Active,,,,2000
371,None,"Artificial Intelligence, Information Technology, Machine Learning, Robotics, Software","292,324",,Active,11-50,,,2018
372,Venture - Series Unknown,"Artificial Intelligence, Business Intelligence, Consumer Electronics, CRM, Information Technology, Machine Learning, Manufacturing, Robotics, Software","306,901",,Active,,M&A,4262424.0,2000
373,None,"Artificial Intelligence, Human Resources, Information Technology, Machine Learning, Robotics","318,084",,Active,1-10,,,2018
374,None,"Artificial Intelligence, Machine Learning, Robotics","309,035",,Active,,,,None
375,None,"Aerospace, Artificial Intelligence, CRM, Information Technology, Machine Learning, Robotics, Sensor","303,982",,Active,11-50,,,2013
376,None,"Artificial Intelligence, Big Data, Education, Information Technology, Machine Learning, Robotics, Software","320,804",Less than $1M,Active,10001+,,,None
377,None,"Education, Machine Learning, Robotics","274,979",,Active,1-10,,,2018
378,None,"Analytics, Artificial Intelligence, Internet, Machine Learning, Robotics, Software","295,947",,Active,,,,None
379,None,"Artificial Intelligence, Consumer Goods, Drones, Information Technology, Machine Learning, Manufacturing, Robotics","316,154",Less than $1M,Active,1-10,,,2015
380,None,"Analytics, Education, Information Technology, Robotics","300,316",,Active,,,,2017
381,None,Consulting,"286,511",,Active,,,,2017
382,None,"Life Science, Machine Learning, Robotics","286,538",,Active,1-10,,,2016
383,None,"Artificial Intelligence, E-Learning, Machine Learning, Robotics, Video Conferencing","306,913",,Active,1-10,,,2016
384,None,"Artificial Intelligence, Assistive Technology, Digital Marketing, Drones, Information Technology, Machine Learning, Robotics, Social Media Advertising, Social Media Management, Web Apps, Web Development","284,577",,Active,251-500,,,2018
385,None,"Consumer Electronics, Fitness, Hardware, Health Insurance, Home Health Care, Machine Learning, Robotics","332,186",,Active,1-10,,,2017
386,None,"Analytics, Big Data, CRM, Information Technology, Machine Learning, Robotics","312,127",,Closed,11-50,,,None
387,None,"Analytics, Computer, Finance, FinTech, Information Technology, Machine Learning, Robotics","291,957",,Active,,,,None
388,None,"Computer Vision, Machine Learning, Robotics","328,931",,Closed,1-10,,,2014
389,None,"Machine Learning, Robotics","317,056",,Active,,,,None
390,Grant,"Artificial Intelligence, Events, Hospitality, Machine Learning, Retail, Retail Technology, Robotics","387,723",,Active,1-10,Seed,,2015
391,None,"Artificial Intelligence, Business Development, Business Information Systems, Business Intelligence, Information Technology, Machine Learning, Robotics, Software","311,512",Less than $1M,Active,11-50,,,2009
392,None,"Artificial Intelligence, Information Technology, Robotics, Software","336,546",,Active,,,,None
393,None,"Big Data, Information Technology, Internet, Machine Learning, Robotics, Software","321,375",,Active,1-10,,,2016
394,None,"E-Learning, Human Computer Interaction, Machine Learning, Robotics, Software","344,554",,Active,,,,None
395,None,"Artificial Intelligence, Augmented Reality, Computer Vision, Human Resources, Machine Learning, Recruiting, Robotics","327,410",,Active,,,,None
396,None,"Developer Platform, Manufacturing, Robotics","330,553",,Active,,,,None
397,None,"Artificial Intelligence, Education, Machine Learning, Robotics, Software","304,456",Less than $1M,Active,,,,None
398,None,"Artificial Intelligence, Computer Vision, Machine Learning, Robotics","332,498",,Active,1-10,,,2009
399,None,"Artificial Intelligence, Machine Learning, Manufacturing, Robotics","315,325",,Active,11-50,,,None
400,None,"Machine Learning, Manufacturing, Robotics","356,875",,Active,1-10,,,2009
401,None,"Machine Learning, Robotics, Simulation","356,888",$1M to $10M,Active,11-50,,,2004
402,None,"3D Printing, Artificial Intelligence, Augmented Reality, Autonomous Vehicles, Biotechnology, Blockchain, Corporate Training, Education, Internet of Things, Machine Learning, Nanotechnology, Robotics, Virtual Reality","329,098",,Active,1-10,,,2018
403,None,"Artificial Intelligence, Mobile Apps, Mobile Payments","359,349",$1M to $10M,Active,,,,2015
404,None,"Analytics, Information Technology, Machine Learning, Robotics, Software","390,505",,Active,,,,2015
405,Angel,"Artificial Intelligence, Education, Robotics","392,811",,Active,,Seed,,None
406,None,Machine Learning,"394,229",,Active,1-10,,,None
407,None,"Artificial Intelligence, Big Data, Events, Social Media","448,548",Less than $1M,Active,,,,None
408,None,"Artificial Intelligence, Computer, Information Technology, Machine Learning, Robotics, Software","399,199",,Active,,,,None
409,None,"Industrial Automation, Machine Learning, Marine Technology, Mechanical Engineering","431,946",Less than $1M,Active,,,,None
410,None,"Artificial Intelligence, Consulting, Machine Learning, Robotics","418,182",,Active,,,,2014
411,None,"Artificial Intelligence, Health Care","409,074",,Active,,,,None
412,None,Machine Learning,"434,295",,Active,,,,None
413,None,Text Analytics,"413,903",$1M to $10M,Active,1-10,,,None
414,None,"Artificial Intelligence, Computer, CRM, Information Technology, Robotics","397,118",Less than $1M,Active,1-10,,,2016
415,None,"Big Data, E-Commerce, Information Technology, Internet, Robotics","372,772",,Active,1-10,,,2017
416,None,"Artificial Intelligence, Information Technology, Machine Learning, Web Development","434,102",,Active,11-50,,,2016
417,None,"Association, Biotechnology, Communities, Education, Events, Robotics","383,194",,Active,,,,None
418,None,"Artificial Intelligence, Information Technology, Robotics, Software","429,689",,Active,,,,None
419,None,Market Research,"397,615",Less than $1M,Active,,,,1989
420,None,"Electronics, Embedded Software, Embedded Systems, Industrial Automation, Machine Learning, Mechanical Design, Robotics","379,345",,Active,,,,1994
421,None,"Analytics, Artificial Intelligence, Consulting, Information Technology, Machine Learning, Robotics, Software","421,635",$1M to $10M,Active,51-100,,,None
422,None,"Artificial Intelligence, Association, Machine Learning, Robotics","359,751",$1M to $10M,Active,,,,2011
423,None,"Artificial Intelligence, Blockchain, Communities, Cryptocurrency, Information Technology, Internet, Machine Learning, Robotics, Software","385,476",,Active,,,,None
424,None,"AgTech, Machine Learning, Robotics, Software","468,275",,Active,1-10,,,None
425,None,"Analytics, Information Technology, Machine Learning, Robotics, Software","492,663",,Closed,11-50,,,2001
426,None,Artificial Intelligence,"477,937",,Active,,,,None
427,None,"Information Technology, Machine Learning, Robotics","502,928",,Active,,,,None
428,None,"Artificial Intelligence, Electronics, Machine Learning, Robotics","448,373",$10M to $50M,Active,101-250,,,2009
429,None,"Artificial Intelligence, Machine Learning, Robotics","482,641",,Active,1-10,,,None
430,None,"Advertising, Digital Marketing, Machine Learning, Marketing, Robotics, Software","498,277",,Active,,,,None
431,None,"Big Data, Information Technology, Machine Learning, Robotics, Software","501,751",,Closed,1-10,,,2016
432,Series A,"Artificial Intelligence, Machine Learning, Robotics","525,819",,Active,,Early Stage Venture,,None
433,None,"Analytics, Big Data, CRM, Information Technology, Robotics, Software","484,276",,Active,,,,1996
434,None,"Computer, Machine Learning, Robotics","571,298",$1M to $10M,Active,1-10,,,2011
435,None,"Machine Learning, Manufacturing, Robotics","558,657",,Active,,,,1986
436,None,"Analytics, Artificial Intelligence, Information Technology, Robotics, Software","556,055",Less than $1M,Active,1-10,,,2015
437,None,"Artificial Intelligence, Big Data, Education, Robotics","532,431",,Active,,,,None
438,None,"Artificial Intelligence, Computer, Education, Robotics","576,709",,Active,,,,2016
439,None,"Analytics, Artificial Intelligence, Employment, Information Technology, Search Engine","605,122",$1M to $10M,Active,1-10,,,2010
